ref_gene_name,Rank,Rank_Pct,class_prob,conservation_upstream,conservation_intron,species1_upstream,species1_max_PSSM_score_upstream,species1_avg_PSSM_score_upstream,species1_min_dist_upstream,species1_avg_dist_upstream,species1_site_count_upstream,species2_upstream,species2_max_PSSM_score_upstream,species2_avg_PSSM_score_upstream,species2_min_dist_upstream,species2_avg_dist_upstream,species2_site_count_upstream,species3_upstream,species3_max_PSSM_score_upstream,species3_avg_PSSM_score_upstream,species3_min_dist_upstream,species3_avg_dist_upstream,species3_site_count_upstream,species4_upstream,species4_max_PSSM_score_upstream,species4_avg_PSSM_score_upstream,species4_min_dist_upstream,species4_avg_dist_upstream,species4_site_count_upstream,species5_upstream,species5_max_PSSM_score_upstream,species5_avg_PSSM_score_upstream,species5_min_dist_upstream,species5_avg_dist_upstream,species5_site_count_upstream,species6_upstream,species6_max_PSSM_score_upstream,species6_avg_PSSM_score_upstream,species6_min_dist_upstream,species6_avg_dist_upstream,species6_site_count_upstream,species7_upstream,species7_max_PSSM_score_upstream,species7_avg_PSSM_score_upstream,species7_min_dist_upstream,species7_avg_dist_upstream,species7_site_count_upstream,species8_upstream,species8_max_PSSM_score_upstream,species8_avg_PSSM_score_upstream,species8_min_dist_upstream,species8_avg_dist_upstream,species8_site_count_upstream,species1_intron,species1_max_PSSM_score_intron,species1_avg_PSSM_score_intron,species1_min_dist_intron,species1_avg_dist_intron,species1_site_count_intron,species2_intron,species2_max_PSSM_score_intron,species2_avg_PSSM_score_intron,species2_min_dist_intron,species2_avg_dist_intron,species2_site_count_intron,species3_intron,species3_max_PSSM_score_intron,species3_avg_PSSM_score_intron,species3_min_dist_intron,species3_avg_dist_intron,species3_site_count_intron,species4_intron,species4_max_PSSM_score_intron,species4_avg_PSSM_score_intron,species4_min_dist_intron,species4_avg_dist_intron,species4_site_count_intron,species5_intron,species5_max_PSSM_score_intron,species5_avg_PSSM_score_intron,species5_min_dist_intron,species5_avg_dist_intron,species5_site_count_intron,species6_intron,species6_max_PSSM_score_intron,species6_avg_PSSM_score_intron,species6_min_dist_intron,species6_avg_dist_intron,species6_site_count_intron,species7_intron,species7_max_PSSM_score_intron,species7_avg_PSSM_score_intron,species7_min_dist_intron,species7_avg_dist_intron,species7_site_count_intron,species8_intron,species8_max_PSSM_score_intron,species8_avg_PSSM_score_intron,species8_min_dist_intron,species8_avg_dist_intron,species8_site_count_intron,avg_species_max_PSSM_score_upstream,avg_species_avg_PSSM_score_upstream,avg_species_min_dist_upstream,avg_species_avg_dist_upstream,avg_species_site_count_upstream,avg_species_max_PSSM_score_intron,avg_species_avg_PSSM_score_intron,avg_species_min_dist_intron,avg_species_avg_dist_intron,avg_species_site_count_intron
H01M10.2,1,0.015740595,0.736945266,5,,c_eleg,12.0204,11.91325,3607,4796,2,c_brig,12.0204,11.7959,3012,4191.25,4,c_bren,12.0204,11.8408,1994,4550.4,5,c_rema,12.0204,11.90305,3551,5168.75,4,c_japo,11.8061,11.7704,1684,3935.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97754,11.84468,2769.6,4528.38,3.4,,,,,
tkr-1,2,0.03148119,0.732124887,5,,c_eleg,12.0204,11.87753333,526,4538.666667,3,c_brig,12.0204,11.8204,2707,5938,5,c_rema,12.0204,11.87753333,204,4827.333333,3,c_japo,12.0204,11.82993333,394,3374,3,a_lumb,12.0204,11.8204,2937,16259.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0204,11.84516,1353.6,6987.48,3.8,,,,,
T01B10.5,3,0.047221785,0.73066292,5,,c_eleg,12.0204,11.84692857,110,9084.714286,7,c_brig,11.8061,11.68978,181,1788,5,c_bren,12.0204,11.91325,5365,10801.5,2,c_rema,12.0204,11.8408,874,6189.8,5,c_japo,12.0204,11.80611429,720,3986.142857,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97754,11.81937457,1450,6370.031429,5.2,,,,,
peb-1,4,0.06296238,0.727365442,5,,c_eleg,12.0204,11.91325,2067,2339,2,c_bren,12.0204,11.823975,93,2533.25,4,c_rema,12.0204,12.0204,2204,2937,2,c_japo,12.0204,11.91325,2093,5412.5,2,p_exsp,11.7347,11.7347,99,99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96326,11.881115,1311.2,2664.15,2.2,,,,,
F59B2.13,5,0.078702975,0.724518226,7,,c_eleg,12.0204,11.87753333,2972,5324,3,c_brig,11.8061,11.7585,3722,4843.333333,3,c_bren,12.0204,11.780625,1040,5661,4,c_rema,12.0204,11.7857,530,2857.5,2,c_japo,11.8061,11.8061,5538,5538,1,p_paci,11.551,11.551,599,599,1,p_exsp,11.8061,11.72106667,1103,2087,3,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8615,11.75436071,2214.857143,3844.261905,2.428571429,,,,,
K08D12.6,6,0.09444357,0.717660101,6,,c_eleg,12.0204,11.81428,39,1801.2,5,c_brig,11.8061,11.7704,1009,1813,2,c_bren,12.0204,12.0204,88,162,2,c_rema,12.0204,12.0204,131,131,1,p_paci,11.8061,11.8061,1504,1504,1,a_lumb,11.7347,11.7347,3347,3347,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.90135,11.86104667,1019.666667,1459.7,2,,,,,
F47F2.1,7,0.110184165,0.714809808,5,,c_eleg,12.0204,11.91325,2268,4211,2,c_brig,11.8061,11.8061,2883,4548.5,2,c_bren,12.0204,11.84183,927,18108.2,10,c_rema,12.0204,11.91325,869,3751.5,2,c_japo,12.0204,11.91325,4296,6402.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97754,11.877536,2248.6,7404.34,3.6,,,,,
aat-1,8,0.12592476,0.704301552,5,,c_eleg,12.0204,11.87755,8364,9247.5,2,c_brig,12.0204,11.78366,11876,18069.4,5,c_bren,12.0204,11.7882625,2422,21569.5,8,c_rema,12.0204,11.8204,3504,9405.2,5,c_japo,12.0204,12.0204,879,879,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0204,11.8580545,5409,11834.12,4.2,,,,,
C30B5.6,9,0.141665355,0.696204034,5,,c_eleg,12.0204,12.0204,1639,1639,1,c_brig,12.0204,11.81973333,441,1151.666667,3,c_bren,12.0204,12.0204,1537,1537,1,c_rema,12.0204,11.841825,431,693,4,c_japo,12.0204,11.82993333,887,2314,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0204,11.90645833,987,1466.933333,2.4,,,,,
tomm-40,10,0.15740595,0.692178715,5,,c_eleg,12.0204,12.0204,1026,1026,1,c_bren,11.7347,11.7347,241,241,1,p_paci,12.0204,11.91325,209,211,2,p_exsp,12.0204,11.8954,647,1446.5,8,a_lumb,12.0204,11.87753333,331,1785.333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96326,11.88825667,490.8,941.9666667,3,,,,,
